id,education,marital_status,income,kidhome,teenhome,recency,mnt_wines,mnt_fruits,mnt_meat_products,mnt_fish_products,mnt_sweet_products,mnt_gold_prods,num_deals_purchases,num_web_purchases,num_catalog_purchases,num_store_purchases,num_web_visits_month,accepted_cmp3,accepted_cmp4,accepted_cmp5,accepted_cmp1,accepted_cmp2,complain,age,n_family_members,n_sons,days_since_signup,income_per_member,total_spent,total_accepted,response
5524,Graduation,Single,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,63,1,0,663,58138.0,1617,0,1
2174,Graduation,Single,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,66,3,2,113,15448.0,27,0,0
4141,Graduation,Together,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,55,2,0,312,35806.5,776,0,0
6182,Graduation,Together,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,36,3,1,139,8882.0,53,0,0
5324,PhD,Married,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,39,3,1,161,19431.0,422,0,0
7446,Master,Together,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,53,3,1,293,20837.666666666668,716,0,0
965,Graduation,Divorced,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,49,2,1,593,27817.5,590,0,0
6177,PhD,Married,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,35,3,1,417,11151.333333333334,169,0,0
4855,PhD,Together,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,46,3,1,388,10117.0,46,0,1
5899,PhD,Together,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,70,4,2,108,1412.0,49,1,0
387,Basic,Married,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,44,2,0,593,3750.0,61,0,0
2125,Graduation,Divorced,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,61,1,0,226,63033.0,1102,0,0
8180,Master,Divorced,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,68,3,2,226,19784.666666666668,310,0,0
2569,Graduation,Married,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,33,2,0,627,8661.5,46,0,0
2114,PhD,Single,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,74,1,0,582,82800.0,1315,2,1
9736,Graduation,Married,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,40,4,2,552,10462.5,96,0,0
4939,Graduation,Together,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,74,2,0,667,18880.0,317,0,0
6565,Master,Married,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,71,3,1,458,25665.0,1782,1,0
2278,2n Cycle,Single,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,35,2,1,603,16906.0,133,0,0
9360,Graduation,Married,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,38,2,0,690,18520.0,316,0,0
1993,PhD,Married,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,71,3,1,553,19535.666666666668,972,1,0
4047,PhD,Married,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,66,3,1,169,21774.666666666668,544,0,0
1409,Graduation,Together,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,69,3,1,468,13563.0,444,0,0
